so this is technically from the find-commas script, but it's this:
make find-commas -- --max-n2d3p9 1259 --max-2-3-free-sopfr 127 --max-2-3-free-copfr 9999 --max-prime-limit 127 --upper-bound 56.8425030289c
so the idea was to just try to get basically the top N2D3P9 2,3-free classes up to 1259 (previously went as high as 307)
only constraint being that SoPF>3 of 127...
and this just doing a ton of duplication w/r/t each 2,3-free class, including every comma-sized thing, rather than just the LATE or LAAS comma for each 2,3-free class

sagittal  	name     	2,3-free class name           	pev                                                                                                                          	cents  	apotome slope	limit  	2,3-free SoPFR	N2D3P9
        	143/5C   	683964567/671088640        	[ -27  14  -1   0   1   1 ⟩                                                                                                    	 32.902	 11.974      	 13    	 29          	 86.065
        	5/143C   	295245/292864              	[ -11  10   1   0  -1  -1 ⟩                                                                                                    	 14.018	  9.137      	 13    	 29          	 86.065
        	55/13k   	13365/13312                	[ -10   5   1   0   1  -1 ⟩                                                                                                    	  6.879	  4.576      	 13    	 29          	 86.065
        	121/7C   	15488/15309                	[   7  -7   0  -1   2 ⟩                                                                                                        	 20.125	 -8.239      	 11    	 29          	 86.269
        	121/7S   	29403/28672                	[ -12   5   0  -1   2 ⟩                                                                                                        	 43.585	  2.316      	 11    	 29          	 86.269
        	7/121M   	7340032/7144929            	[  20 -10   0   1  -2 ⟩                                                                                                        	 46.640	-12.872      	 11    	 29          	 86.269
        	19/13M   	9728/9477                  	[   9  -6   0   0   0  -1   0   1 ⟩                                                                                            	 45.255	 -8.787      	 19    	 32          	 86.907
        	13/19C   	3407872/3365793            	[  18 -11   0   0   0   1   0  -1 ⟩                                                                                            	 21.510	-12.324      	 19    	 32          	 86.907
  '//|  	13/19S   	39/38                      	[  -1   1   0   0   0   1   0  -1 ⟩                                                                                            	 44.970	 -1.769      	 19    	 32          	 86.907
        	1/187C   	33554432/33126489          	[  25 -11   0   0  -1   0  -1 ⟩                                                                                                	 22.222	-12.368      	 17    	 28          	 88.306
        	1/187M   	192/187                    	[   6   1   0   0  -1   0  -1 ⟩                                                                                                	 45.682	 -1.813      	 17    	 28          	 88.306
        	187S     	748/729                    	[   2  -6   0   0   1   0   1 ⟩                                                                                                	 44.543	 -8.743      	 17    	 28          	 88.306
        	31/5M    	31/30                      	[  -1  -1  -1   0   0   0   0   0   0   0   1 ⟩                                                                                	 56.767	 -4.495      	 31    	 36          	 88.981
        	5/31S    	2560/2511                  	[   9  -4   1   0   0   0   0   0   0   0  -1 ⟩                                                                                	 33.458	 -6.060      	 31    	 36          	 88.981
        	91/25C   	1490944/1476225            	[  14 -10  -2   1   0   1 ⟩                                                                                                    	 17.176	-11.058      	 13    	 30          	 91.281
 ,.//|  	91/25S   	819/800                    	[  -5   2  -2   1   0   1 ⟩                                                                                                    	 40.636	 -0.502      	 13    	 30          	 91.281
        	25/91M   	204800/199017              	[  13  -7   2  -1   0  -1 ⟩                                                                                                    	 49.589	-10.053      	 13    	 30          	 91.281
   `)|  	49/55s   	441/440                    	[  -3   2  -1   2  -1 ⟩                                                                                                        	  3.930	  1.758      	 11    	 30          	 91.497
        	49/55C   	234365481/230686720        	[ -22  14  -1   2  -1 ⟩                                                                                                        	 27.390	 12.313      	 11    	 30          	 91.497
        	55/49C   	3247695/3211264            	[ -16  10   1  -2   1 ⟩                                                                                                        	 19.530	  8.797      	 11    	 30          	 91.497
        	1/605k   	16384/16335                	[  14  -3  -1   0  -2 ⟩                                                                                                        	  5.185	 -3.319      	 11    	 27          	 92.431
        	1/605C   	19683/19360                	[  -5   9  -1   0  -2 ⟩                                                                                                        	 28.645	  7.236      	 11    	 27          	 92.431
        	605C     	8681088735/8589934592      	[ -33  15   1   0   2 ⟩                                                                                                        	 18.275	 13.875      	 11    	 27          	 92.431
        	343/25C  	686/675                    	[   1  -3  -2   3 ⟩                                                                                                            	 27.985	 -4.723      	  7    	 31          	 92.631
        	343/25M  	6751269/6553600            	[ -18   9  -2   3 ⟩                                                                                                            	 51.445	  5.832      	  7    	 31          	 92.631
        	41C      	82/81                      	[   1  -4   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                        	 21.242	 -5.308      	 41    	 41          	 93.389
        	41S      	269001/262144              	[ -18   8   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                        	 44.702	  5.248      	 41    	 41          	 93.389
        	17/35S   	8704/8505                  	[   9  -5  -1  -1   0   0   1 ⟩                                                                                                	 40.041	 -7.465      	 17    	 29          	 93.657
        	7/85s    	11160261/11141120          	[ -17  13  -1   1   0   0  -1 ⟩                                                                                                	  2.972	 12.817      	 17    	 29          	 93.657
        	119/5k   	21080493/20971520          	[ -22  11  -1   1   0   0   1 ⟩                                                                                                	  8.973	 10.448      	 17    	 29          	 93.657
        	5/119C   	120/119                    	[   3   1   1  -1   0   0  -1 ⟩                                                                                                	 14.487	  0.108      	 17    	 29          	 93.657
        	5/119S   	7971615/7798784            	[ -16  13   1  -1   0   0  -1 ⟩                                                                                                	 37.947	 10.663      	 17    	 29          	 93.657
        	85/7C    	85/84                      	[  -2  -1   1  -1   0   0   1 ⟩                                                                                                	 20.488	 -2.262      	 17    	 29          	 93.657
        	85/7S    	15057495/14680064          	[ -21  11   1  -1   0   0   1 ⟩                                                                                                	 43.948	  8.294      	 17    	 29          	 93.657
        	35/17C   	9175040/9034497            	[  18 -12   1   1   0   0  -1 ⟩                                                                                                	 26.724	-13.646      	 17    	 29          	 93.657
        	35/17M   	35/34                      	[  -1   0   1   1   0   0  -1 ⟩                                                                                                	 50.184	 -3.090      	 17    	 29          	 93.657
        	125/13n  	256000/255879              	[  11  -9   3   0   0  -1 ⟩                                                                                                    	  0.818	 -9.050      	 13    	 28          	 97.801
  ,)/|  	125/13C  	3375/3328                  	[  -8   3   3   0   0  -1 ⟩                                                                                                    	 24.278	  1.505      	 13    	 28          	 97.801
        	125/13M  	1793613375/1744830464      	[ -27  15   3   0   0  -1 ⟩                                                                                                    	 47.738	 12.061      	 13    	 28          	 97.801
        	11/175k  	176/175                    	[   4   0  -2  -1   1 ⟩                                                                                                        	  9.865	 -0.607      	 11    	 28          	 98.032
        	11/175C  	5845851/5734400            	[ -15  12  -2  -1   1 ⟩                                                                                                        	 33.325	  9.948      	 11    	 28          	 98.032
        	7/275C   	1835008/1804275            	[  18  -8  -2   1  -1 ⟩                                                                                                        	 29.241	 -9.800      	 11    	 28          	 98.032
   ,/|\ 	7/275M   	567/550                    	[  -1   4  -2   1  -1 ⟩                                                                                                        	 52.701	  0.755      	 11    	 28          	 98.032
        	275/7S   	140800/137781              	[   9  -9   2  -1   1 ⟩                                                                                                        	 37.524	-11.311      	 11    	 28          	 98.032
        	175/11C  	93002175/92274688          	[ -23  12   2   1  -1 ⟩                                                                                                        	 13.595	 11.163      	 11    	 28          	 98.032
        	1/425k   	8388608/8365275            	[  23  -9  -2   0   0   0  -1 ⟩                                                                                                	  4.822	 -9.297      	 17    	 27          	100.347
        	1/425C   	432/425                    	[   4   3  -2   0   0   0  -1 ⟩                                                                                                	 28.282	  1.259      	 17    	 27          	100.347
        	1/425M   	14348907/13926400          	[ -15  15  -2   0   0   0  -1 ⟩                                                                                                	 51.742	 11.814      	 17    	 27          	100.347
        	169/5k   	41067/40960                	[ -13   5  -1   0   0   2 ⟩                                                                                                    	  4.517	  4.722      	 13    	 31          	101.713
        	5/169C   	10935/10816                	[  -6   7   1   0   0  -2 ⟩                                                                                                    	 18.943	  5.834      	 13    	 31          	101.713
        	121/25C  	495616/492075              	[  12  -9  -2   0   2 ⟩                                                                                                        	 12.413	 -9.764      	 11    	 32          	102.701
        	121/25S  	3267/3200                  	[  -7   3  -2   0   2 ⟩                                                                                                        	 35.873	  0.791      	 11    	 32          	102.701
        	25/121M  	819200/793881              	[  15  -8   2   0  -2 ⟩                                                                                                        	 54.352	-11.347      	 11    	 32          	102.701
        	1/43k    	177147/176128              	[ -12  11   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                    	  9.987	 10.385      	 43    	 43          	102.722
        	43C      	129/128                    	[  -7   1   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                    	 13.473	  0.170      	 43    	 43          	102.722
        	43S      	68555889/67108864          	[ -26  13   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                    	 36.933	 10.726      	 43    	 43          	102.722
        	1/161k   	162/161                    	[   1   4   0  -1   0   0   0   0  -1 ⟩                                                                                        	 10.720	  3.340      	 23    	 30          	102.861
        	161C     	1056321/1048576            	[ -20   8   0   1   0   0   0   0   1 ⟩                                                                                        	 12.740	  7.216      	 23    	 30          	102.861
        	1/221M   	2048/1989                  	[  11  -2   0   0   0  -1  -1 ⟩                                                                                                	 50.607	 -5.116      	 17    	 30          	104.361
        	221S     	221/216                    	[  -3  -3   0   0   0   1   1 ⟩                                                                                                	 39.618	 -5.439      	 17    	 30          	104.361
        	1/1375k  	177147/176000              	[  -7  11  -3   0  -1 ⟩                                                                                                        	 11.246	 10.308      	 11    	 26          	105.035
        	1375C    	4125/4096                  	[ -12   1   3   0   1 ⟩                                                                                                        	 12.214	  0.248      	 11    	 26          	105.035
        	1375S    	2192194125/2147483648      	[ -31  13   3   0   1 ⟩                                                                                                        	 35.674	 10.803      	 11    	 26          	105.035
        	4375n    	4375/4374                  	[  -1  -7   4   1 ⟩                                                                                                            	  0.396	 -7.024      	  7    	 27          	106.337
  `'/|  	4375C    	1063125/1048576            	[ -20   5   4   1 ⟩                                                                                                            	 23.856	  3.531      	  7    	 27          	106.337
  `.~|( 	11/23C   	5632/5589                  	[   9  -5   0   0   1   0   0   0  -1 ⟩                                                                                        	 13.269	 -5.817      	 23    	 34          	107.759
  ,.(|( 	11/23S   	24057/23552                	[ -10   7   0   0   1   0   0   0  -1 ⟩                                                                                        	 36.729	  4.738      	 23    	 34          	107.759
        	7/29C    	7168/7047                  	[  10  -5   0   1   0   0   0   0   0  -1 ⟩                                                                                    	 29.474	 -6.815      	 29    	 36          	109.019
        	7/29M    	15309/14848                	[  -9   7   0   1   0   0   0   0   0  -1 ⟩                                                                                    	 52.934	  3.741      	 29    	 36          	109.019
        	1/209S   	4194304/4113747            	[  22  -9   0   0  -1   0   0  -1 ⟩                                                                                            	 33.574	-11.067      	 19    	 30          	110.306
        	209C     	6688/6561                  	[   5  -8   0   0   1   0   0   1 ⟩                                                                                            	 33.191	-10.044      	 19    	 30          	110.306
        	209M     	16929/16384                	[ -14   4   0   0   1   0   0   1 ⟩                                                                                            	 56.651	  0.512      	 19    	 30          	110.306
        	19/17C   	1121931/1114112            	[ -16  10   0   0   0   0  -1   1 ⟩                                                                                            	 12.108	  9.254      	 19    	 36          	113.648
        	17/19k   	153/152                    	[  -3   2   0   0   0   0   1  -1 ⟩                                                                                            	 11.352	  1.301      	 19    	 36          	113.648
        	17/19S   	81310473/79691776          	[ -22  14   0   0   0   0   1  -1 ⟩                                                                                            	 34.812	 11.856      	 19    	 36          	113.648
        	1/637k   	4194304/4179357            	[  22  -8   0  -2   0  -1 ⟩                                                                                                    	  6.181	 -8.381      	 13    	 27          	115.014
        	1/637C   	648/637                    	[   3   4   0  -2   0  -1 ⟩                                                                                                    	 29.641	  2.175      	 13    	 27          	115.014
        	1/2401C  	65536/64827                	[  16  -3   0  -4 ⟩                                                                                                            	 18.831	 -4.160      	  7    	 28          	116.715
        	1/2401S  	19683/19208                	[  -3   9   0  -4 ⟩                                                                                                            	 42.291	  6.396      	  7    	 28          	116.715
        	1/145k   	4782969/4751360            	[ -15  14  -1   0   0   0   0   0   0  -1 ⟩                                                                                    	 11.479	 13.293      	 29    	 34          	116.806
        	145C     	145/144                    	[  -4  -2   1   0   0   0   0   0   0   1 ⟩                                                                                    	 11.981	 -2.738      	 29    	 34          	116.806
        	145S     	8562105/8388608            	[ -23  10   1   0   0   0   0   0   0   1 ⟩                                                                                    	 35.441	  7.818      	 29    	 34          	116.806
        	19/35C   	77824/76545                	[  12  -7  -1  -1   0   0   0   1 ⟩                                                                                            	 28.688	 -8.766      	 19    	 31          	116.991
        	19/35M   	4617/4480                  	[  -7   5  -1  -1   0   0   0   1 ⟩                                                                                            	 52.148	  1.789      	 19    	 31          	116.991
        	5/133s   	2621440/2617839            	[  19  -9   1  -1   0   0   0  -1 ⟩                                                                                            	  2.380	 -9.147      	 19    	 31          	116.991
        	5/133C   	135/133                    	[   0   3   1  -1   0   0   0  -1 ⟩                                                                                            	 25.840	  1.409      	 19    	 31          	116.991
        	5/133M   	71744535/69730304          	[ -19  15   1  -1   0   0   0  -1 ⟩                                                                                            	 49.300	 11.964      	 19    	 31          	116.991
        	95/7k    	190/189                    	[   1  -3   1  -1   0   0   0   1 ⟩                                                                                            	  9.136	 -3.563      	 19    	 31          	116.991
        	95/7C    	1869885/1835008            	[ -18   9   1  -1   0   0   0   1 ⟩                                                                                            	 32.596	  6.993      	 19    	 31          	116.991
        	35/19S   	1146880/1121931            	[  15 -10   1   1   0   0   0  -1 ⟩                                                                                            	 38.077	-12.345      	 19    	 31          	116.991
        	13/77C   	78/77                      	[   1   1   0  -1  -1   1 ⟩                                                                                                    	 22.339	 -0.375      	 13    	 31          	120.491
        	13/77M   	20726199/20185088          	[ -18  13   0  -1  -1   1 ⟩                                                                                                    	 45.799	 10.180      	 13    	 31          	120.491
    `|\ 	11/91C   	22528/22113                	[  11  -5   0  -1   1  -1 ⟩                                                                                                    	 32.189	 -6.982      	 13    	 31          	120.491
  `'/|\ 	11/91M   	24057/23296                	[  -8   7   0  -1   1  -1 ⟩                                                                                                    	 55.649	  3.573      	 13    	 31          	120.491
   `~|( 	143/7C   	572/567                    	[   2  -4   0  -1   1   1 ⟩                                                                                                    	 15.200	 -4.936      	 13    	 31          	120.491
        	143/7S   	938223/917504              	[ -17   8   0  -1   1   1 ⟩                                                                                                    	 38.660	  5.620      	 13    	 31          	120.491
        	77/13n   	13640319/13631488          	[ -20  11   0   1   1  -1 ⟩                                                                                                    	  1.121	 10.931      	 13    	 31          	120.491
        	23/25S   	1507328/1476225            	[  16 -10  -2   0   0   0   0   0   1 ⟩                                                                                        	 36.097	-12.223      	 23    	 33          	122.454
        	25/23C   	51200/50301                	[  11  -7   2   0   0   0   0   0  -1 ⟩                                                                                        	 30.668	 -8.888      	 23    	 33          	122.454
        	25/23M   	6075/5888                  	[  -8   5   2   0   0   0   0   0  -1 ⟩                                                                                        	 54.128	  1.667      	 23    	 33          	122.454
        	1/47C    	8388608/8325909            	[  23 -11   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                	 12.988	-11.800      	 47    	 47          	122.722
        	1/47S    	48/47                      	[   4   1   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                	 36.448	 -1.244      	 47    	 47          	122.722
        	47M      	752/729                    	[   4  -6   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                	 53.777	 -9.311      	 47    	 47          	122.722
        	7/31s    	1835008/1830519            	[  18 -10   0   1   0   0   0   0   0   0  -1 ⟩                                                                                	  4.240	-10.261      	 31    	 38          	124.574
        	7/31C    	63/62                      	[  -1   2   0   1   0   0   0   0   0   0  -1 ⟩                                                                                	 27.700	  0.294      	 31    	 38          	124.574
        	7/31M    	33480783/32505856          	[ -20  14   0   1   0   0   0   0   0   0  -1 ⟩                                                                                	 51.160	 10.850      	 31    	 38          	124.574
        	1/475C   	1048576/1038825            	[  20  -7  -2   0   0   0   0  -1 ⟩                                                                                            	 16.175	 -7.996      	 19    	 29          	125.347
        	1/475S   	486/475                    	[   1   5  -2   0   0   0   0  -1 ⟩                                                                                            	 39.635	  2.560      	 19    	 29          	125.347
        	475M     	60800/59049                	[   7 -10   2   0   0   0   0   1 ⟩                                                                                            	 50.590	-13.115      	 19    	 29          	125.347
        	37/5M    	303104/295245              	[  13 -10  -1   0   0   0   0   0   0   0   0   1 ⟩                                                                            	 45.480	-12.800      	 37    	 42          	126.759
        	5/37C    	81920/80919                	[  14  -7   1   0   0   0   0   0   0   0   0  -1 ⟩                                                                            	 21.285	 -8.311      	 37    	 42          	126.759
        	5/37S    	1215/1184                  	[  -5   5   1   0   0   0   0   0   0   0   0  -1 ⟩                                                                            	 44.745	  2.245      	 37    	 42          	126.759
        	23/13C   	110008287/109051904        	[ -23  14   0   0   0  -1   0   0   1 ⟩                                                                                        	 15.117	 13.069      	 23    	 36          	127.352
        	13/23k   	208/207                    	[   4  -2   0   0   0   1   0   0  -1 ⟩                                                                                        	  8.343	 -2.514      	 23    	 36          	127.352
        	13/23C   	767637/753664              	[ -15  10   0   0   0   1   0   0  -1 ⟩                                                                                        	 31.803	  8.042      	 23    	 36          	127.352
        	49/65k   	196/195                    	[   2  -1  -1   2   0  -1 ⟩                                                                                                    	  8.855	 -1.545      	 13    	 32          	127.793
        	49/65C   	8680203/8519680            	[ -17  11  -1   2   0  -1 ⟩                                                                                                    	 32.315	  9.010      	 13    	 32          	127.793
        	65/49C   	103630995/102760448        	[ -21  13   1  -2   0   1 ⟩                                                                                                    	 14.605	 12.101      	 13    	 32          	127.793
        	1/715k   	524288/521235              	[  19  -6  -1   0  -1  -1 ⟩                                                                                                    	 10.111	 -6.623      	 13    	 29          	129.097
        	1/715S   	729/715                    	[   0   6  -1   0  -1  -1 ⟩                                                                                                    	 33.571	  3.933      	 13    	 29          	129.097
        	1/847k   	16777216/16671501          	[  24  -9   0  -1  -2 ⟩                                                                                                        	 10.943	 -9.674      	 11    	 29          	129.403
        	1/847S   	864/847                    	[   5   3   0  -1  -2 ⟩                                                                                                        	 34.403	  0.882      	 11    	 29          	129.403
        	847M     	6776/6561                  	[   3  -8   0   1   2 ⟩                                                                                                        	 55.822	-11.437      	 11    	 29          	129.403
        	29/25M   	232/225                    	[   3  -2  -2   0   0   0   0   0   0   1 ⟩                                                                                    	 53.040	 -5.266      	 29    	 39          	129.784
        	25/29S   	800/783                    	[   5  -3   2   0   0   0   0   0   0  -1 ⟩                                                                                    	 37.185	 -5.290      	 29    	 39          	129.784
        	247C     	247/243                    	[   0  -5   0   0   0   1   0   1 ⟩                                                                                            	 28.266	 -6.740      	 19    	 32          	130.361
        	247M     	540189/524288              	[ -19   7   0   0   0   1   0   1 ⟩                                                                                            	 51.726	  3.815      	 19    	 32          	130.361
        	17/49M   	8912896/8680203            	[  19 -11   0  -2   0   0   1 ⟩                                                                                                	 45.799	-13.820      	 17    	 31          	131.120
        	49/17C   	12544/12393                	[   8  -6   0   2   0   0  -1 ⟩                                                                                                	 20.966	 -7.291      	 17    	 31          	131.120
 ,'//|  	49/17S   	35721/34816                	[ -11   6   0   2   0   0  -1 ⟩                                                                                                	 44.426	  3.265      	 17    	 31          	131.120
        	1/155M   	1048576/1016955            	[  20  -8  -1   0   0   0   0   0   0   0  -1 ⟩                                                                                	 53.011	-11.264      	 31    	 36          	133.472
        	155C     	19840/19683                	[   7  -9   1   0   0   0   0   0   0   0   1 ⟩                                                                                	 13.754	 -9.847      	 31    	 36          	133.472
        	155S     	4185/4096                  	[ -12   3   1   0   0   0   0   0   0   0   1 ⟩                                                                                	 37.214	  0.709      	 31    	 36          	133.472
        	15625k   	15625/15552                	[  -6  -5   6 ⟩                                                                                                                	  8.107	 -5.499      	  5    	 30          	135.634
        	15625C   	34171875/33554432          	[ -25   7   6 ⟩                                                                                                                	 31.567	  5.056      	  5    	 30          	135.634
        	1/289C   	4782969/4734976            	[ -14  14   0   0   0   0  -2 ⟩                                                                                                	 17.459	 12.925      	 17    	 34          	136.472
        	289k     	289/288                    	[  -5  -2   0   0   0   0   2 ⟩                                                                                                	  6.001	 -2.369      	 17    	 34          	136.472
        	289C     	17065161/16777216          	[ -24  10   0   0   0   0   2 ⟩                                                                                                	 29.461	  8.186      	 17    	 34          	136.472
        	13/175k  	351/350                    	[  -1   3  -2  -1   0   1 ⟩                                                                                                    	  4.939	  2.696      	 13    	 30          	136.921
        	13/175C  	186535791/183500800        	[ -20  15  -2  -1   0   1 ⟩                                                                                                    	 28.399	 13.251      	 13    	 30          	136.921
        	7/325S   	58720256/57572775          	[  23 -11  -2   1   0  -1 ⟩                                                                                                    	 34.166	-13.104      	 13    	 30          	136.921
        	325/7C   	5200/5103                  	[   4  -6   2  -1   0   1 ⟩                                                                                                    	 32.599	 -8.007      	 13    	 30          	136.921
        	325/7M   	236925/229376              	[ -15   6   2  -1   0   1 ⟩                                                                                                    	 56.059	  2.548      	 13    	 30          	136.921
        	175/13C  	3444525/3407872            	[ -18   9   2   1   0  -1 ⟩                                                                                                    	 18.521	  7.860      	 13    	 30          	136.921
        	11/245C  	180224/178605              	[  14  -6  -1  -2   1 ⟩                                                                                                        	 15.622	 -6.962      	 11    	 30          	137.245
        	11/245S  	8019/7840                  	[  -5   6  -1  -2   1 ⟩                                                                                                        	 39.082	  3.594      	 11    	 30          	137.245
        	539/5C   	10609137/10485760          	[ -21   9  -1   2   1 ⟩                                                                                                        	 20.251	  7.753      	 11    	 30          	137.245
        	5/539s   	540/539                    	[   2   3   1  -2  -1 ⟩                                                                                                        	  3.209	  2.802      	 11    	 30          	137.245
        	5/539C   	71744535/70647808          	[ -17  15   1  -2  -1 ⟩                                                                                                        	 26.669	 13.358      	 11    	 30          	137.245
        	1/595S   	16384/16065                	[  14  -3  -1  -1   0   0  -1 ⟩                                                                                                	 34.040	 -5.096      	 17    	 29          	140.486
  ,)/|\ 	595M     	595/576                    	[  -6  -2   1   1   0   0   1 ⟩                                                                                                	 56.185	 -5.460      	 17    	 29          	140.486
        	169/7k   	169/168                    	[  -3  -1   0  -1   0   2 ⟩                                                                                                    	 10.274	 -1.633      	 13    	 33          	142.398
        	169/7S   	29937843/29360128          	[ -22  11   0  -1   0   2 ⟩                                                                                                    	 33.734	  8.923      	 13    	 33          	142.398
        	7/169C   	11160261/11075584          	[ -16  13   0   1   0  -2 ⟩                                                                                                    	 13.186	 12.188      	 13    	 33          	142.398
        	143/25k  	18304/18225                	[   7  -6  -2   0   1   1 ⟩                                                                                                    	  7.488	 -6.461      	 13    	 34          	143.441
        	143/25C  	104247/102400              	[ -12   6  -2   0   1   1 ⟩                                                                                                    	 30.948	  4.094      	 13    	 34          	143.441
        	121/35S  	968/945                    	[   3  -3  -1  -1   2 ⟩                                                                                                        	 41.631	 -5.563      	 11    	 34          	143.781
        	35/121M  	1120/1089                  	[   5  -2   1   1  -2 ⟩                                                                                                        	 48.594	 -4.992      	 11    	 34          	143.781
        	1/1625C  	6561/6500                  	[  -2   8  -3   0   0  -1 ⟩                                                                                                    	 16.171	  7.004      	 13    	 28          	146.701
        	1625k    	131625/131072              	[ -17   4   3   0   0   1 ⟩                                                                                                    	  7.289	  3.551      	 13    	 28          	146.701
        	1/1925C  	1944/1925                  	[   3   5  -2  -1  -1 ⟩                                                                                                        	 17.004	  3.953      	 11    	 28          	147.049
        	1925k    	4209975/4194304            	[ -22   7   2   1   1 ⟩                                                                                                        	  6.456	  6.602      	 11    	 28          	147.049
        	17/55M   	1114112/1082565            	[  16  -9  -1   0  -1   0   1 ⟩                                                                                                	 49.729	-12.062      	 17    	 33          	147.176
        	5/187C   	5120/5049                  	[  10  -3   1   0  -1   0  -1 ⟩                                                                                                	 24.175	 -4.489      	 17    	 33          	147.176
        	5/187M   	98415/95744                	[  -9   9   1   0  -1   0  -1 ⟩                                                                                                	 47.635	  6.067      	 17    	 33          	147.176
   ,)|) 	85/11C   	2720/2673                  	[   5  -5   1   0  -1   0   1 ⟩                                                                                                	 30.176	 -6.858      	 17    	 33          	147.176
   `/|\ 	85/11M   	185895/180224              	[ -14   7   1   0  -1   0   1 ⟩                                                                                                	 53.636	  3.697      	 17    	 33          	147.176
        	55/17C   	112640/111537              	[  11  -8   1   0   1   0  -1 ⟩                                                                                                	 17.036	 -9.049      	 17    	 33          	147.176
        	55/17S   	4455/4352                  	[  -8   4   1   0   1   0  -1 ⟩                                                                                                	 40.496	  1.506      	 17    	 33          	147.176
        	31/25M   	507904/492075              	[  14  -9  -2   0   0   0   0   0   0   0   1 ⟩                                                                                	 54.813	-12.375      	 31    	 41          	148.302
        	25/31C   	204800/203391              	[  13  -8   2   0   0   0   0   0   0   0  -1 ⟩                                                                                	 11.952	 -8.736      	 31    	 41          	148.302
        	25/31S   	2025/1984                  	[  -6   4   2   0   0   0   0   0   0   0  -1 ⟩                                                                                	 35.412	  1.820      	 31    	 41          	148.302
        	1/6125k  	6144/6125                  	[  11   1  -3  -2 ⟩                                                                                                            	  5.362	  0.670      	  7    	 29          	148.872
        	1/6125C  	1594323/1568000            	[  -8  13  -3  -2 ⟩                                                                                                            	 28.822	 11.225      	  7    	 29          	148.872
        	6125C    	1085025375/1073741824      	[ -30  11   3   2 ⟩                                                                                                            	 18.098	  9.886      	  7    	 29          	148.872
        	1/845C   	16777216/16632135          	[  24  -9  -1   0   0  -2 ⟩                                                                                                    	 15.036	 -9.926      	 13    	 31          	152.569
        	1/845S   	864/845                    	[   5   3  -1   0   0  -2 ⟩                                                                                                    	 38.496	  0.630      	 13    	 31          	152.569
        	845M     	6760/6561                  	[   3  -8   1   0   0   2 ⟩                                                                                                    	 51.729	-11.185      	 13    	 31          	152.569
        	343/125C 	22478848/22143375          	[  16 -11  -3   3 ⟩                                                                                                            	 26.032	-12.603      	  7    	 36          	154.385
        	343/125M 	1029/1000                  	[  -3   1  -3   3 ⟩                                                                                                            	 49.492	 -2.047      	  7    	 36          	154.385
        	125/343S 	256000/250047              	[  11  -6   3  -3 ⟩                                                                                                            	 40.733	 -8.508      	  7    	 36          	154.385
        	41/5C    	2686976/2657205            	[  16 -12  -1   0   0   0   0   0   0   0   0   0   1 ⟩                                                                        	 19.289	-13.188      	 41    	 46          	155.648
        	41/5S    	41/40                      	[  -3   0  -1   0   0   0   0   0   0   0   0   0   1 ⟩                                                                        	 42.749	 -2.632      	 41    	 46          	155.648
        	5/41M    	10240/9963                 	[  11  -5   1   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                        	 47.476	 -7.923      	 41    	 46          	155.648
        	1/53k    	1048576/1043199            	[  20  -9   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                            	  8.900	 -9.548      	 53    	 53          	156.056
        	1/53C    	54/53                      	[   1   3   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                            	 32.360	  1.007      	 53    	 53          	156.056
        	1/53M    	14348907/13893632          	[ -18  15   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                            	 55.820	 11.563      	 53    	 53          	156.056
        	119/25k  	3213/3200                  	[  -7   3  -2   1   0   0   1 ⟩                                                                                                	  7.019	  2.568      	 17    	 34          	156.096
        	119/25C  	1707519933/1677721600      	[ -26  15  -2   1   0   0   1 ⟩                                                                                                	 30.479	 13.123      	 17    	 34          	156.096
        	25/119C  	492075/487424              	[ -12   9   2  -1   0   0  -1 ⟩                                                                                                	 16.441	  7.988      	 17    	 34          	156.096
  ,,/|  	1/253C   	256/253                    	[   8   0   0   0  -1   0   0   0  -1 ⟩                                                                                        	 20.408	 -1.257      	 23    	 34          	161.639
        	1/253S   	531441/518144              	[ -11  12   0   0  -1   0   0   0  -1 ⟩                                                                                        	 43.868	  9.299      	 23    	 34          	161.639
        	253s     	134454573/134217728        	[ -27  12   0   0   1   0   0   0   1 ⟩                                                                                        	  3.052	 11.812      	 23    	 34          	161.639
        	77/125S  	2523136/2460375            	[  15  -9  -3   1   1 ⟩                                                                                                        	 43.608	-11.685      	 11    	 33          	163.387
        	125/77C  	512000/505197              	[  12  -8   3  -1  -1 ⟩                                                                                                        	 23.157	 -9.426      	 11    	 33          	163.387
        	125/77M  	10125/9856                 	[  -7   4   3  -1  -1 ⟩                                                                                                        	 46.617	  1.130      	 11    	 33          	163.387
