so this is technically from the find-commas script, but it's this:
make find-commas -- --max-n2d3p9 1259 --max-2-3-free-sopfr 127 --max-2-3-free-copfr 9999 --max-prime-limit 127 --upper-bound 56.8425030289c
so the idea was to just try to get basically the top N2D3P9 2,3-free classes up to 1259 (previously went as high as 307)
only constraint being that SoPF>3 of 127...
and this just doing a ton of duplication w/r/t each 2,3-free class, including every comma-sized thing, rather than just the LATE or LAAS comma for each 2,3-free class

sagittal  	name     	2,3-free class name           	pev                                                                                                                          	cents  	apotome slope	limit  	2,3-free SoPFR	N2D3P9
  `//|  	175S     	525/512                    	[  -9   1   2   1 ⟩                                                                                                            	 43.408	 -1.673      	  7    	 17          	 17.014
    )|~ 	1/19C    	19683/19456                	[ -10   9   0   0   0   0   0  -1 ⟩                                                                                            	 20.082	  7.763      	 19    	 19          	 20.056
    )|  	19s      	513/512                    	[  -9   3   0   0   0   0   0   1 ⟩                                                                                            	  3.378	  2.792      	 19    	 19          	 20.056
        	19C      	272629233/268435456        	[ -28  15   0   0   0   0   0   1 ⟩                                                                                            	 26.838	 13.347      	 19    	 19          	 20.056
        	1/625S   	4194304/4100625            	[  22  -8  -4 ⟩                                                                                                                	 39.105	-10.408      	  5    	 20          	 21.701
    `|) 	625C     	20000/19683                	[   5  -9   4 ⟩                                                                                                                	 27.660	-10.703      	  5    	 20          	 21.701
  `'/|) 	625M     	16875/16384                	[ -14   3   4 ⟩                                                                                                                	 51.120	 -0.148      	  5    	 20          	 21.701
        	13/7M    	425984/413343              	[  15 -10   0  -1   0   1 ⟩                                                                                                    	 52.152	-13.211      	 13    	 20          	 21.907
        	7/13C    	28672/28431                	[  12  -7   0   1   0  -1 ⟩                                                                                                    	 14.613	 -7.900      	 13    	 20          	 21.907
  ,,(|( 	7/13S    	1701/1664                  	[  -7   5   0   1   0  -1 ⟩                                                                                                    	 38.073	  2.656      	 13    	 20          	 21.907
        	65s      	532480/531441              	[  13 -12   1   0   0   1 ⟩                                                                                                    	  3.381	-12.208      	 13    	 18          	 23.472
    ,|) 	65C      	65/64                      	[  -6   0   1   0   0   1 ⟩                                                                                                    	 26.841	 -1.653      	 13    	 18          	 23.472
  ,'/|) 	65M      	34543665/33554432          	[ -25  12   1   0   0   1 ⟩                                                                                                    	 50.301	  8.903      	 13    	 18          	 23.472
        	77s      	19712/19683                	[   8  -9   0   1   1 ⟩                                                                                                        	  2.549	 -9.157      	 11    	 18          	 23.528
   `.|) 	77C      	2079/2048                  	[ -11   3   0   1   1 ⟩                                                                                                        	 26.009	  1.399      	 11    	 18          	 23.528
        	77M      	1104865839/1073741824      	[ -30  15   0   1   1 ⟩                                                                                                        	 49.469	 11.954      	 11    	 18          	 23.528
   ,~|( 	245C     	245/243                    	[   0  -5   1   2 ⟩                                                                                                            	 14.191	 -5.874      	  7    	 19          	 23.819
   '~|) 	245S     	535815/524288              	[ -19   7   1   2 ⟩                                                                                                            	 37.651	  4.682      	  7    	 19          	 23.819
        	49/25M   	6272/6075                  	[   7  -5  -2   2 ⟩                                                                                                            	 55.249	 -8.402      	  7    	 24          	 26.466
        	25/49k   	26214400/26040609          	[  20 -12   2  -2 ⟩                                                                                                            	 11.516	-12.709      	  7    	 24          	 26.466
   '(|  	25/49S   	50/49                      	[   1   0   2  -2 ⟩                                                                                                            	 34.976	 -2.154      	  7    	 24          	 26.466
   .~|( 	17/5C    	136/135                    	[   3  -3  -1   0   0   0   1 ⟩                                                                                                	 12.777	 -3.787      	 17    	 22          	 26.759
   `~|) 	17/5S    	334611/327680              	[ -16   9  -1   0   0   0   1 ⟩                                                                                                	 36.237	  6.769      	 17    	 22          	 26.759
        	11/25k   	52612659/52428800          	[ -21  14  -2   0   1 ⟩                                                                                                        	  6.061	 13.627      	 11    	 21          	 28.009
        	25/11C   	100/99                     	[   2  -2   2   0  -1 ⟩                                                                                                        	 17.399	 -3.071      	 11    	 21          	 28.009
        	25/11S   	1476225/1441792            	[ -17  10   2   0  -1 ⟩                                                                                                        	 40.859	  7.484      	 11    	 21          	 28.009
  ,,~|( 	7/125C   	126/125                    	[   1   2  -3   1 ⟩                                                                                                            	 13.795	  1.151      	  7    	 22          	 28.356
        	7/125S   	33480783/32768000          	[ -18  14  -3   1 ⟩                                                                                                            	 37.255	 11.706      	  7    	 22          	 28.356
        	125/7k   	7381125/7340032            	[ -20  10   3  -1 ⟩                                                                                                            	  9.665	  9.405      	  7    	 22          	 28.356
     |~ 	23C      	736/729                    	[   5  -6   0   0   0   0   0   0   1 ⟩                                                                                        	 16.544	 -7.019      	 23    	 23          	 29.389
    ~|\ 	23S      	16767/16384                	[ -14   6   0   0   0   0   0   0   1 ⟩                                                                                        	 40.004	  3.537      	 23    	 23          	 29.389
   `'|  	1/91s    	729/728                    	[  -3   6   0  -1   0  -1 ⟩                                                                                                    	  2.376	  5.854      	 13    	 20          	 32.861
   ,/|  	91C      	66339/65536                	[ -16   6   0   1   0   1 ⟩                                                                                                    	 21.084	  4.702      	 13    	 20          	 32.861
        	1/343C   	177147/175616              	[  -9  11   0  -3 ⟩                                                                                                            	 15.027	 10.075      	  7    	 21          	 33.347
   ,~|  	343k     	1029/1024                  	[ -10   1   0   3 ⟩                                                                                                            	  8.433	  0.481      	  7    	 21          	 33.347
        	343C     	546852789/536870912        	[ -29  13   0   3 ⟩                                                                                                            	 31.893	 11.036      	  7    	 21          	 33.347
   .)|  	19/5n    	1216/1215                  	[   6  -5  -1   0   0   0   0   1 ⟩                                                                                            	  1.424	 -5.088      	 19    	 24          	 33.426
   )/|  	19/5C    	41553/40960                	[ -13   7  -1   0   0   0   0   1 ⟩                                                                                            	 24.884	  5.468      	 19    	 24          	 33.426
        	13/11C   	186535791/184549376        	[ -24  15   0   0  -1   1 ⟩                                                                                                    	 18.535	 13.859      	 13    	 24          	 34.426
   ,,|( 	11/13k   	352/351                    	[   5  -3   0   0   1  -1 ⟩                                                                                                    	  4.925	 -3.303      	 13    	 24          	 34.426
   ``|) 	11/13C   	216513/212992              	[ -14   9   0   0   1  -1 ⟩                                                                                                    	 28.385	  7.252      	 13    	 24          	 34.426
        	1/121k   	243/242                    	[  -1   5   0   0  -2 ⟩                                                                                                        	  7.139	  4.560      	 11    	 22          	 36.972
        	121C     	264627/262144              	[ -18   7   0   0   2 ⟩                                                                                                        	 16.321	  5.995      	 11    	 22          	 36.972
 ``~~|  	17/7C    	139264/137781              	[  13  -9   0  -1   0   0   1 ⟩                                                                                                	 18.534	-10.141      	 17    	 24          	 37.463
 ,,//|  	17/7S    	459/448                    	[  -6   3   0  -1   0   0   1 ⟩                                                                                                	 41.995	  0.414      	 17    	 24          	 37.463
        	7/17M    	114688/111537              	[  14  -8   0   1   0   0  -1 ⟩                                                                                                	 48.230	-10.970      	 17    	 24          	 37.463
  ``/|  	25/13C   	3200/3159                  	[   7  -5   2   0   0  -1 ⟩                                                                                                    	 22.325	 -6.375      	 13    	 23          	 39.120
 ,)//|  	25/13M   	54675/53248                	[ -12   7   2   0   0  -1 ⟩                                                                                                    	 45.785	  4.181      	 13    	 23          	 39.120
        	11/35C   	72171/71680                	[ -11   8  -1  -1   1 ⟩                                                                                                        	 11.818	  7.272      	 11    	 23          	 39.213
        	7/55k    	29360128/29229255          	[  22 -12  -1   1  -1 ⟩                                                                                                        	  7.734	-12.476      	 11    	 23          	 39.213
   .(|  	7/55C    	56/55                      	[   3   0  -1   1  -1 ⟩                                                                                                        	 31.194	 -1.921      	 11    	 23          	 39.213
        	7/55M    	3720087/3604480            	[ -16  12  -1   1  -1 ⟩                                                                                                        	 54.654	  8.635      	 11    	 23          	 39.213
 ,,)/|  	77/5C    	1232/1215                  	[   4  -5  -1   1   1 ⟩                                                                                                        	 24.055	 -6.481      	 11    	 23          	 39.213
        	77/5M    	168399/163840              	[ -15   7  -1   1   1 ⟩                                                                                                        	 47.515	  4.074      	 11    	 23          	 39.213
   ')|( 	35/11k   	2835/2816                  	[  -8   4   1   1  -1 ⟩                                                                                                        	 11.642	  3.283      	 11    	 23          	 39.213
   .~|  	1/85k    	256/255                    	[   8  -1  -1   0   0   0  -1 ⟩                                                                                                	  6.776	 -1.417      	 17    	 22          	 40.139
        	1/85C    	177147/174080              	[ -11  11  -1   0   0   0  -1 ⟩                                                                                                	 30.236	  9.138      	 17    	 22          	 40.139
        	85C      	135517455/134217728        	[ -27  13   1   0   0   0   1 ⟩                                                                                                	 16.684	 11.973      	 17    	 22          	 40.139
        	1/275M   	16777216/16238475          	[  24 -10  -2   0  -1 ⟩                                                                                                        	 56.505	-13.479      	 11    	 21          	 42.014
