2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{247/17}₂,₃    	738.713 	                          	        	722   	-      	0
{323/13}₂,₃    	738.713 	                          	        	722   	-      	0
{259/25}₂,₃    	739.429 	                          	        	724   	-      	0
{95/29}₂,₃     	739.769 	                          	        	726   	-      	0
{145/19}₂,₃    	739.769 	                          	        	726   	-      	0
{551/5}₂,₃     	739.769 	                          	        	726   	-      	0
{365}₂,₃       	740.139 	                          	        	728   	-      	0
{361/35}₂,₃    	740.941 	                          	        	729   	-      	0
{115/91}₂,₃    	742.886 	                          	        	731   	-      	0
{161/65}₂,₃    	742.886 	                          	        	731   	-      	0
{299/35}₂,₃    	742.886 	                          	        	731   	-      	0
{289/49}₂,₃    	743.015 	                          	        	733   	-      	0
{343/325}₂,₃   	745.460 	                          	        	734   	-      	0
{8281}₂,₃      	747.590 	                          	        	735   	-      	0
{253/125}₂,₃   	748.328 	                          	        	736   	-      	0
{3179}₂,₃      	750.597 	                          	        	737   	604.5  	1
{59/35}₂,₃     	752.068 	                          	        	738   	-      	0
{1925/13}₂,₃   	753.067 	                          	        	740   	-      	0
{2275/11}₂,₃   	753.067 	                          	        	740   	-      	0
{3575/7}₂,₃    	753.067 	                          	        	740   	-      	0
{169/85}₂,₃    	753.719 	                          	        	742   	-      	0
{5929/5}₂,₃    	754.850 	                          	        	743   	-      	0
{121/119}₂,₃   	755.503 	                          	        	744   	-      	0
{85/31}₂,₃     	756.343 	                          	        	746   	-      	0
{155/17}₂,₃    	756.343 	                          	        	746   	-      	0
{527/5}₂,₃     	756.343 	                          	        	746   	604.5  	1
{203/125}₂,₃   	757.073 	                          	        	748   	-      	0
{61/11}₂,₃     	757.981 	                          	        	749   	604.5  	1
{1885}₂,₃      	759.236 	                          	        	750   	-      	0
{455/19}₂,₃    	760.440 	                          	        	752.5 	-      	0
{665/13}₂,₃    	760.440 	                          	        	752.5 	-      	0
{1235/7}₂,₃    	760.440 	                          	        	752.5 	-      	0
{1729/5}₂,₃    	760.440 	                          	        	752.5 	-      	0
{49/41}₂,₃     	762.676 	                          	        	755   	-      	0
{343/85}₂,₃    	764.869 	                          	        	756   	-      	0
{625/23}₂,₃    	765.336 	                          	        	757   	-      	0
{1175}₂,₃      	767.014 	                          	        	758   	-      	0
{6545}₂,₃      	772.674 	                          	        	759   	-      	0
{899}₂,₃       	774.139 	                          	        	760   	-      	0
{437/25}₂,₃    	775.540 	                          	        	761   	604.5  	1
{47/19}₂,₃     	777.241 	                          	        	762   	-      	0
{71/25}₂,₃     	777.932 	                          	        	763   	-      	0
{175/31}₂,₃    	778.588 	                          	        	764.5 	-      	0
{775/7}₂,₃     	778.588 	                          	        	764.5 	-      	0
{1183/11}₂,₃   	783.190 	                          	        	766.5 	-      	0
{1859/7}₂,₃    	783.190 	                          	        	766.5 	-      	0
{11875}₂,₃     	783.420 	                          	        	768   	164    	6
{37/31}₂,₃     	785.907 	                          	        	769   	217.5  	4
{43/23}₂,₃     	787.537 	                          	        	770   	164    	6
{529/7}₂,₃     	788.602 	                          	        	771   	-      	0
{325/121}₂,₃   	788.927 	                          	        	772.5 	-      	0
{1573/25}₂,₃   	788.927 	                          	        	772.5 	-      	0
{323/125}₂,₃   	789.223 	                          	        	774   	604.5  	1
{1331/35}₂,₃   	790.795 	                          	        	775   	604.5  	1
{125/37}₂,₃    	792.245 	                          	        	776   	-      	0
{697}₂,₃       	793.806 	                          	        	777   	-      	0
{325/23}₂,₃    	795.949 	                          	        	778.5 	-      	0
{575/13}₂,₃    	795.949 	                          	        	778.5 	-      	0
{1445/7}₂,₃    	796.088 	                          	        	780.5 	-      	0
{2023/5}₂,₃    	796.088 	                          	        	780.5 	-      	0
{143/95}₂,₃    	796.651 	                          	        	783   	-      	0
{209/65}₂,₃    	796.651 	                          	        	783   	-      	0
{247/55}₂,₃    	796.651 	                          	        	783   	-      	0
{611}₂,₃       	797.694 	                          	        	785   	-      	0
{1625/49}₂,₃   	798.708 	                          	        	786   	-      	0
{3773/25}₂,₃   	800.598 	                          	        	787   	-      	0
{61/35}₂,₃     	803.920 	                          	        	788   	-      	0
{17875}₂,₃     	806.858 	                          	        	789   	-      	0
{21175}₂,₃     	808.767 	                          	        	790   	-      	0
{79/7}₂,₃      	809.019 	                          	        	791   	-      	0
{605/17}₂,₃    	809.468 	                          	        	792.5 	-      	0
{2057/5}₂,₃    	809.468 	                          	        	792.5 	-      	0
{91/31}₂,₃     	809.731 	                          	        	795   	-      	0
{217/13}₂,₃    	809.731 	                          	        	795   	-      	0
{403/7}₂,₃     	809.731 	                          	        	795   	-      	0
{6175}₂,₃      	814.757 	                          	        	797   	-      	0
{341/25}₂,₃    	815.664 	                          	        	798   	-      	0
{1435}₂,₃      	817.153 	                          	        	799   	-      	0
{1225/17}₂,₃   	819.502 	                          	        	800   	-      	0
{169/121}₂,₃   	820.485 	                          	        	801   	-      	0
{73/25}₂,₃     	822.377 	                          	        	802   	-      	0
{65/37}₂,₃     	823.935 	                          	        	804   	-      	0
{185/13}₂,₃    	823.935 	                          	        	804   	604.5  	1
{481/5}₂,₃     	823.935 	                          	        	804   	-      	0
{361/13}₂,₃    	825.620 	                          	        	806   	-      	0
{961}₂,₃       	827.528 	                          	        	807   	-      	0
{169/23}₂,₃    	827.787 	                          	        	808   	-      	0
{245/169}₂,₃   	830.656 	                          	        	809.5 	-      	0
{845/49}₂,₃    	830.656 	                          	        	809.5 	-      	0
{289/55}₂,₃    	833.997 	                          	        	811   	-      	0
{3875}₂,₃      	834.201 	                          	        	812   	-      	0
{1001/125}₂,₃  	836.741 	                          	        	813   	-      	0
{59/13}₂,₃     	838.019 	                          	        	814   	329    	2
{49/43}₂,₃     	838.898 	                          	        	815   	329    	2
{9295}₂,₃      	839.132 	                          	        	816   	-      	0
{343/23}₂,₃    	840.032 	                          	        	817   	-      	0
{377/25}₂,₃    	843.596 	                          	        	818   	-      	0
{2645}₂,₃      	844.931 	                          	        	819   	-      	0
{247/175}₂,₃   	844.933 	                          	        	820   	-      	0
{95/31}₂,₃     	845.324 	                          	        	822   	-      	0
{155/19}₂,₃    	845.324 	                          	        	822   	-      	0
{589/5}₂,₃     	845.324 	                          	        	822   	-      	0
{3211}₂,₃      	847.347 	                          	        	824   	-      	0
{390625}₂,₃    	847.711 	                          	        	825   	186.5  	5
{53/49}₂,₃     	849.636 	                          	        	826   	217.5  	4
{637/17}₂,₃    	852.282 	                          	        	827.5 	-      	0
{833/13}₂,₃    	852.282 	                          	        	827.5 	-      	0
{7225}₂,₃      	852.951 	                          	        	829   	-      	0
{4375/13}₂,₃   	855.758 	                          	        	830.5 	-      	0
{8125/7}₂,₃    	855.758 	                          	        	830.5 	-      	0
{55/41}₂,₃     	856.065 	                          	        	833   	-      	0
{205/11}₂,₃    	856.065 	                          	        	833   	-      	0
{451/5}₂,₃     	856.065 	                          	        	833   	-      	0
{6125/11}₂,₃   	857.784 	                          	        	835   	-      	0
{583}₂,₃       	858.306 	                          	        	836   	-      	0
{275/119}₂,₃   	858.526 	                          	        	838   	-      	0
{425/77}₂,₃    	858.526 	                          	        	838   	-      	0
{1309/25}₂,₃   	858.526 	                          	        	838   	-      	0
{6517}₂,₃      	859.882 	                          	        	840   	-      	0
{217/125}₂,₃   	865.098 	                          	        	841   	-      	0
{395}₂,₃       	866.806 	                          	        	842   	-      	0
{2015}₂,₃      	867.569 	                          	        	843   	-      	0
{97/5}₂,₃      	871.204 	                          	        	844   	604.5  	1
{469}₂,₃       	872.861 	                          	        	845   	-      	0
{731}₂,₃       	873.139 	                          	        	846   	-      	0
{2737}₂,₃      	874.319 	                          	        	847   	-      	0
{851}₂,₃       	874.639 	                          	        	848   	-      	0
{14875}₂,₃     	878.038 	                          	        	849   	-      	0
{253/49}₂,₃    	880.034 	                          	        	850   	-      	0
{361/125}₂,₃   	882.073 	                          	        	851   	-      	0
{53/17}₂,₃     	884.315 	                          	        	852   	186.5  	5
{299/125}₂,₃   	884.388 	                          	        	853   	-      	0
{289/175}₂,₃   	884.542 	                          	        	854   	-      	0
{3757}₂,₃      	887.069 	                          	        	855   	-      	0
{779}₂,₃       	887.194 	                          	        	856   	-      	0
{637/625}₂,₃   	887.453 	                          	        	857   	-      	0
{2783}₂,₃      	889.014 	                          	        	858   	-      	0
{4225/7}₂,₃    	889.988 	                          	        	859   	-      	0
{143/119}₂,₃   	892.867 	                          	        	861   	-      	0
{187/91}₂,₃    	892.867 	                          	        	861   	-      	0
{221/77}₂,₃    	892.867 	                          	        	861   	-      	0
{83/7}₂,₃      	893.019 	                          	        	863   	-      	0
{115/29}₂,₃    	895.509 	                          	        	865   	-      	0
{145/23}₂,₃    	895.509 	                          	        	865   	-      	0
{667/5}₂,₃     	895.509 	                          	        	865   	-      	0
{61/13}₂,₃     	895.796 	                          	        	867   	329    	2
{127}₂,₃       	896.056 	                          	        	868   	604.5  	1
{625/143}₂,₃   	896.508 	                          	        	869   	-      	0
{875/121}₂,₃   	898.630 	                          	        	870   	-      	0
{1505}₂,₃      	898.819 	                          	        	871   	-      	0
{2233}₂,₃      	899.403 	                          	        	872   	-      	0
{5635}₂,₃      	900.035 	                          	        	873   	-      	0
{2401/625}₂,₃  	900.581 	                          	        	874   	329    	2
{539/19}₂,₃    	900.829 	                          	        	875.5 	-      	0
{931/11}₂,₃    	900.829 	                          	        	875.5 	-      	0
{41/29}₂,₃     	902.759 	                          	        	877   	604.5  	1
{287/25}₂,₃    	907.948 	                          	        	878   	-      	0
{265/7}₂,₃     	910.324 	                          	        	879.5 	-      	0
{371/5}₂,₃     	910.324 	                          	        	879.5 	-      	0
{833/125}₂,₃   	910.558 	                          	        	881   	-      	0
{7735}₂,₃      	913.160 	                          	        	882   	-      	0
{67/11}₂,₃     	914.426 	                          	        	883   	-      	0
{187/23}₂,₃    	915.954 	                          	        	885   	-      	0
{253/17}₂,₃    	915.954 	                          	        	885   	-      	0
{391/11}₂,₃    	915.954 	                          	        	885   	-      	0
{40625}₂,₃     	916.884 	                          	        	887   	-      	0
{48125}₂,₃     	919.054 	                          	        	888   	-      	0
{1375/17}₂,₃   	919.850 	                          	        	889.5 	-      	0
{2125/11}₂,₃   	919.850 	                          	        	889.5 	-      	0
{2197/7}₂,₃    	925.588 	                          	        	891   	-      	0
{119/29}₂,₃    	926.657 	                          	        	893   	-      	0
{203/17}₂,₃    	926.657 	                          	        	893   	-      	0
{493/7}₂,₃     	926.657 	                          	        	893   	-      	0
{323/49}₂,₃    	928.127 	                          	        	895   	-      	0
{153125}₂,₃    	930.447 	                          	        	896   	604.5  	1
{1813}₂,₃      	931.681 	                          	        	897   	-      	0
{275/169}₂,₃   	932.369 	                          	        	898.5 	-      	0
{1859/25}₂,₃   	932.369 	                          	        	898.5 	-      	0
{3553}₂,₃      	937.597 	                          	        	900   	-      	0
{529/25}₂,₃    	938.812 	                          	        	901   	604.5  	1
{2401/13}₂,₃   	939.280 	                          	        	902   	-      	0
{47/23}₂,₃     	940.870 	                          	        	903   	329    	2
{1331/125}₂,₃  	941.422 	                          	        	904   	-      	0
{169/95}₂,₃    	941.497 	                          	        	905   	604.5  	1
{55/43}₂,₃     	941.620 	                          	        	907   	-      	0
{215/11}₂,₃    	941.620 	                          	        	907   	-      	0
{473/5}₂,₃     	941.620 	                          	        	907   	-      	0
{121/29}₂,₃    	942.231 	                          	        	909   	-      	0
{385/23}₂,₃    	942.894 	                          	        	911.5 	-      	0
{805/11}₂,₃    	942.894 	                          	        	911.5 	-      	0
{1265/7}₂,₃    	942.894 	                          	        	911.5 	-      	0
{1771/5}₂,₃    	942.894 	                          	        	911.5 	-      	0
{133/121}₂,₃   	943.725 	                          	        	914   	-      	0
{101/5}₂,₃     	944.537 	                          	        	915   	217.5  	4
{625/539}₂,₃   	953.093 	                          	        	916   	-      	0
{131}₂,₃       	953.389 	                          	        	917   	-      	0
{21125}₂,₃     	953.559 	                          	        	918   	-      	0
{245/29}₂,₃    	953.912 	                          	        	919.5 	-      	0
{1421/5}₂,₃    	953.912 	                          	        	919.5 	-      	0
{343/95}₂,₃    	955.424 	                          	        	921   	-      	0
{715/17}₂,₃    	956.644 	                          	        	923.5 	-      	0
{935/13}₂,₃    	956.644 	                          	        	923.5 	-      	0
{1105/11}₂,₃   	956.644 	                          	        	923.5 	-      	0
{2431/5}₂,₃    	956.644 	                          	        	923.5 	604.5  	1
{415}₂,₃       	956.806 	                          	        	926   	-      	0
{79/25}₂,₃     	963.117 	                          	        	927   	-      	0
{403/25}₂,₃    	963.966 	                          	        	928   	-      	0
{3125/343}₂,₃  	964.908 	                          	        	929   	-      	0
{41/31}₂,₃     	965.019 	                          	        	930   	604.5  	1
{7315}₂,₃      	965.174 	                          	        	931   	-      	0
{289/19}₂,₃    	966.009 	                          	        	932   	-      	0
{67/35}₂,₃     	969.846 	                          	        	933   	604.5  	1
{119/115}₂,₃   	971.466 	                          	        	935   	-      	0
{161/85}₂,₃    	971.466 	                          	        	935   	-      	0
{391/35}₂,₃    	971.466 	                          	        	935   	-      	0
{125/41}₂,₃    	972.801 	                          	        	937   	604.5  	1
{1325}₂,₃      	975.347 	                          	        	938   	-      	0
{625/119}₂,₃   	975.598 	                          	        	939   	-      	0
{817}₂,₃       	975.861 	                          	        	940   	-      	0
{77/37}₂,₃     	976.046 	                          	        	942   	-      	0
{259/11}₂,₃    	976.046 	                          	        	942   	-      	0
{407/7}₂,₃     	976.046 	                          	        	942   	-      	0
{3059}₂,₃      	977.181 	                          	        	944   	-      	0
{497}₂,₃       	980.194 	                          	        	945   	-      	0
{103/5}₂,₃     	982.315 	                          	        	946   	-      	0
{343/143}₂,₃   	984.008 	                          	        	947   	604.5  	1
{289/65}₂,₃    	985.633 	                          	        	948   	-      	0
{121/115}₂,₃   	987.793 	                          	        	949   	-      	0
{53/19}₂,₃     	988.352 	                          	        	950   	604.5  	1
{1183/125}₂,₃  	988.876 	                          	        	951   	-      	0
{10985}₂,₃     	991.701 	                          	        	952   	-      	0
{2465}₂,₃      	992.847 	                          	        	953   	-      	0
{43/29}₂,₃     	992.981 	                          	        	954   	329    	2
{11011}₂,₃     	994.049 	                          	        	955   	-      	0
{595/19}₂,₃    	994.421 	                          	        	957.5 	-      	0
{665/17}₂,₃    	994.421 	                          	        	957.5 	-      	0
{1615/7}₂,₃    	994.421 	                          	        	957.5 	-      	0
{2261/5}₂,₃    	994.421 	                          	        	957.5 	-      	0
{847/625}₂,₃   	998.478 	                          	        	960   	-      	0
{301/25}₂,₃    	998.688 	                          	        	961   	-      	0
{145/77}₂,₃    	999.336 	                          	        	963   	-      	0
{203/55}₂,₃    	999.336 	                          	        	963   	-      	0
{319/35}₂,₃    	999.336 	                          	        	963   	-      	0
{575/49}₂,₃    	1000.039	                          	        	965.5 	-      	0
{1127/25}₂,₃   	1000.039	                          	        	965.5 	-      	0
{49/47}₂,₃     	1002.231	                          	        	967   	604.5  	1
{22295}₂,₃     	1006.372	                          	        	968   	-      	0
{26411}₂,₃     	1008.753	                          	        	969   	-      	0
{6325}₂,₃      	1010.243	                          	        	970   	-      	0
{605/19}₂,₃    	1011.134	                          	        	971.5 	-      	0
{2299/5}₂,₃    	1011.134	                          	        	971.5 	-      	0
{65/41}₂,₃     	1011.713	                          	        	974   	329    	2
{205/13}₂,₃    	1011.713	                          	        	974   	-      	0
{533/5}₂,₃     	1011.713	                          	        	974   	-      	0
{689}₂,₃       	1014.361	                          	        	976   	-      	0
{325/119}₂,₃   	1014.622	                          	        	978   	-      	0
{425/91}₂,₃    	1014.622	                          	        	978   	-      	0
{1547/25}₂,₃   	1014.622	                          	        	978   	-      	0
{3125/77}₂,₃   	1021.171	                          	        	980   	-      	0
{84035}₂,₃     	1021.259	                          	        	981   	-      	0
{5075}₂,₃      	1022.049	                          	        	982   	-      	0
{115/31}₂,₃    	1023.287	                          	        	984   	604.5  	1
{155/23}₂,₃    	1023.287	                          	        	984   	-      	0
{713/5}₂,₃     	1023.287	                          	        	984   	604.5  	1
{1225/19}₂,₃   	1023.669	                          	        	986   	-      	0
{209/23}₂,₃    	1023.713	                          	        	988   	-      	0
{253/19}₂,₃    	1023.713	                          	        	988   	-      	0
{437/11}₂,₃    	1023.713	                          	        	988   	-      	0
{89/7}₂,₃      	1026.796	                          	        	990   	134.5  	8
{71/11}₂,₃     	1026.870	                          	        	991   	252.5  	3
{2387}₂,₃      	1027.736	                          	        	992   	-      	0
{15625/49}₂,₃  	1033.830	                          	        	993   	604.5  	1
{185/49}₂,₃    	1035.201	                          	        	994   	-      	0
{133/29}₂,₃    	1035.676	                          	        	996   	-      	0
{203/19}₂,₃    	1035.676	                          	        	996   	-      	0
{551/7}₂,₃     	1035.676	                          	        	996   	604.5  	1
{511}₂,₃       	1036.194	                          	        	998   	-      	0
{361/49}₂,₃    	1037.318	                          	        	999   	-      	0
{299/49}₂,₃    	1040.040	                          	        	1000  	-      	0
{425/23}₂,₃    	1040.856	                          	        	1001.5	-      	0
{575/17}₂,₃    	1040.856	                          	        	1001.5	-      	0
{1331/13}₂,₃   	1041.384	                          	        	1003  	-      	0
{187/95}₂,₃    	1041.775	                          	        	1005  	-      	0
{209/85}₂,₃    	1041.775	                          	        	1005  	-      	0
{323/55}₂,₃    	1041.775	                          	        	1005  	-      	0
{137}₂,₃       	1042.722	                          	        	1007  	-      	0
{799}₂,₃       	1043.139	                          	        	1008  	-      	0
{3125/17}₂,₃   	1045.284	                          	        	1009  	-      	0
{2035}₂,₃      	1045.764	                          	        	1010  	-      	0
{253/175}₂,₃   	1047.659	                          	        	1011  	-      	0
{3971}₂,₃      	1047.903	                          	        	1012  	-      	0
{3289}₂,₃      	1050.653	                          	        	1013  	-      	0
{59/49}₂,₃     	1052.895	                          	        	1014  	-      	0
{2695/13}₂,₃   	1054.294	                          	        	1016  	-      	0
{3185/11}₂,₃   	1054.294	                          	        	1016  	-      	0
{7007/5}₂,₃    	1054.294	                          	        	1016  	-      	0
{169/119}₂,₃   	1055.207	                          	        	1018  	-      	0
{119/31}₂,₃    	1058.880	                          	        	1020  	-      	0
{217/17}₂,₃    	1058.880	                          	        	1020  	-      	0
{527/7}₂,₃     	1058.880	                          	        	1020  	-      	0
{625/169}₂,₃   	1059.510	                          	        	1022  	-      	0
{107/5}₂,₃     	1060.093	                          	        	1023  	217.5  	4
{43/31}₂,₃     	1061.463	                          	        	1024  	164    	6
{2639}₂,₃      	1062.931	                          	        	1025  	-      	0
{83/25}₂,₃     	1063.117	                          	        	1026  	604.5  	1
{649}₂,₃       	1063.639	                          	        	1027  	-      	0
{637/19}₂,₃    	1064.616	                          	        	1028.5	-      	0
{931/13}₂,₃    	1064.616	                          	        	1028.5	-      	0
{8075}₂,₃      	1065.451	                          	        	1030  	-      	0
{125/43}₂,₃    	1070.023	                          	        	1031  	-      	0
{275/29}₂,₃    	1070.718	                          	        	1032.5	-      	0
{725/11}₂,₃    	1070.718	                          	        	1032.5	-      	0
{875/23}₂,₃    	1071.470	                          	        	1034.5	-      	0
{2875/7}₂,₃    	1071.470	                          	        	1034.5	-      	0
{275/133}₂,₃   	1072.415	                          	        	1037  	-      	0
{475/77}₂,₃    	1072.415	                          	        	1037  	-      	0
{1463/25}₂,₃   	1072.415	                          	        	1037  	-      	0
{139}₂,₃       	1073.389	                          	        	1039  	-      	0
{1645}₂,₃      	1073.819	                          	        	1040  	-      	0
{943}₂,₃       	1073.972	                          	        	1041  	-      	0
{121/31}₂,₃    	1076.676	                          	        	1042  	-      	0
{85/37}₂,₃     	1077.454	                          	        	1044  	134.5  	8
{185/17}₂,₃    	1077.454	                          	        	1044  	-      	0
{629/5}₂,₃     	1077.454	                          	        	1044  	-      	0
{361/17}₂,₃    	1079.657	                          	        	1046  	-      	0
{67/13}₂,₃     	1080.685	                          	        	1047  	329    	2
{9163}₂,₃      	1081.743	                          	        	1048  	-      	0
{221/23}₂,₃    	1082.491	                          	        	1050  	-      	0
{299/17}₂,₃    	1082.491	                          	        	1050  	-      	0
{391/13}₂,₃    	1082.491	                          	        	1050  	-      	0
{73/11}₂,₃     	1085.537	                          	        	1052  	604.5  	1
{133/115}₂,₃   	1085.756	                          	        	1054  	-      	0
{161/95}₂,₃    	1085.756	                          	        	1054  	-      	0
{437/35}₂,₃    	1085.756	                          	        	1054  	-      	0
{1625/17}₂,₃   	1087.095	                          	        	1056.5	-      	0
{2125/13}₂,₃   	1087.095	                          	        	1056.5	-      	0
{71/35}₂,₃     	1089.105	                          	        	1058  	-      	0
{245/31}₂,₃    	1090.023	                          	        	1059.5	-      	0
{1519/5}₂,₃    	1090.023	                          	        	1059.5	-      	0
{15625/11}₂,₃  	1094.112	                          	        	1061  	-      	0
{59/17}₂,₃     	1095.870	                          	        	1062  	-      	0
{16625}₂,₃     	1096.788	                          	        	1063  	-      	0
{109/5}₂,₃     	1100.093	                          	        	1064  	-      	0
{445}₂,₃       	1100.139	                          	        	1065  	-      	0
{2197/25}₂,₃   	1101.890	                          	        	1066  	-      	0
{1073}₂,₃      	1102.806	                          	        	1067  	-      	0
{493/25}₂,₃    	1103.164	                          	        	1068  	-      	0
{455/121}₂,₃   	1104.498	                          	        	1070.5	604.5  	1
{605/91}₂,₃    	1104.498	                          	        	1070.5	604.5  	1
{847/65}₂,₃    	1104.498	                          	        	1070.5	-      	0
{1573/35}₂,₃   	1104.498	                          	        	1070.5	-      	0
{323/175}₂,₃   	1104.913	                          	        	1073  	-      	0
{1331/49}₂,₃   	1107.113	                          	        	1074  	-      	0
{78125/7}₂,₃   	1107.675	                          	        	1075  	604.5  	1
{4199}₂,₃      	1108.069	                          	        	1076  	-      	0
{175/37}₂,₃    	1109.144	                          	        	1077.5	-      	0
{925/7}₂,₃     	1109.144	                          	        	1077.5	-      	0
{2755}₂,₃      	1109.653	                          	        	1079  	-      	0
{1805/7}₂,₃    	1111.412	                          	        	1080.5	-      	0
{2527/5}₂,₃    	1111.412	                          	        	1080.5	-      	0
{65/43}₂,₃     	1112.824	                          	        	1083  	252.5  	3
{215/13}₂,₃    	1112.824	                          	        	1083  	-      	0
{559/5}₂,₃     	1112.824	                          	        	1083  	-      	0
{143/29}₂,₃    	1113.546	                          	        	1086  	329    	2
{319/13}₂,₃    	1113.546	                          	        	1086  	-      	0
{377/11}₂,₃    	1113.546	                          	        	1086  	-      	0
{455/23}₂,₃    	1114.329	                          	        	1089.5	-      	0
{805/13}₂,₃    	1114.329	                          	        	1089.5	-      	0
{1495/7}₂,₃    	1114.329	                          	        	1089.5	-      	0
{2093/5}₂,₃    	1114.329	                          	        	1089.5	-      	0
{143/133}₂,₃   	1115.312	                          	        	1093  	-      	0
{209/91}₂,₃    	1115.312	                          	        	1093  	-      	0
{247/77}₂,₃    	1115.312	                          	        	1093  	-      	0
{4459/25}₂,₃   	1118.191	                          	        	1095  	-      	0
{14641}₂,₃     	1118.410	   ,)|(                   	6       	1096  	329    	2
{2401/55}₂,₃   	1120.837	                          	        	1097  	-      	0
{55/47}₂,₃     	1124.954	                          	        	1099  	-      	0
{235/11}₂,₃    	1124.954	                          	        	1099  	-      	0
{517/5}₂,₃     	1124.954	                          	        	1099  	-      	0
{61/49}₂,₃     	1125.488	                          	        	1101  	604.5  	1
{295/7}₂,₃     	1128.102	                          	        	1102.5	-      	0
{413/5}₂,₃     	1128.102	                          	        	1102.5	-      	0
{841/5}₂,₃     	1129.120	                          	        	1104  	-      	0
{25025}₂,₃     	1129.601	                          	        	1105  	-      	0
{845/17}₂,₃    	1130.579	                          	        	1106.5	-      	0
{2873/5}₂,₃    	1130.579	                          	        	1106.5	-      	0
{29645}₂,₃     	1132.274	                          	        	1108  	-      	0
{847/17}₂,₃    	1133.255	                          	        	1109.5	-      	0
{2057/7}₂,₃    	1133.255	                          	        	1109.5	-      	0
{2635}₂,₃      	1134.514	                          	        	1111  	604.5  	1
{16807/25}₂,₃  	1134.732	                          	        	1112  	-      	0
{671}₂,₃       	1136.972	                          	        	1113  	-      	0
{931/125}₂,₃   	1137.410	                          	        	1114  	604.5  	1
{8645}₂,₃      	1140.660	                          	        	1115  	-      	0
{155/77}₂,₃    	1141.929	                          	        	1117  	604.5  	1
{217/55}₂,₃    	1141.929	                          	        	1117  	-      	0
{341/35}₂,₃    	1141.929	                          	        	1117  	-      	0
{2009}₂,₃      	1144.014	                          	        	1119  	-      	0
{1715/17}₂,₃   	1147.303	                          	        	1120.5	-      	0
{5831/5}₂,₃    	1147.303	                          	        	1120.5	-      	0
{14375}₂,₃     	1148.003	                          	        	1122  	-      	0
{1375/19}₂,₃   	1149.016	                          	        	1123.5	-      	0
{2375/11}₂,₃   	1149.016	                          	        	1123.5	-      	0
{73/35}₂,₃     	1151.327	                          	        	1125  	604.5  	1
{41/37}₂,₃     	1151.796	                          	        	1126  	329    	2
{91/37}₂,₃     	1153.509	                          	        	1128  	-      	0
{259/13}₂,₃    	1153.509	                          	        	1128  	-      	0
{481/7}₂,₃     	1153.509	                          	        	1128  	-      	0
{391/125}₂,₃   	1156.507	                          	        	1130  	-      	0
{4913}₂,₃      	1160.014	                          	        	1131  	604.5  	1
{407/25}₂,₃    	1161.960	                          	        	1132  	-      	0
{343/169}₂,₃   	1162.918	                          	        	1133  	-      	0
{475/23}₂,₃    	1163.310	                          	        	1134.5	-      	0
{575/19}₂,₃    	1163.310	                          	        	1134.5	-      	0
{361/55}₂,₃    	1164.336	                          	        	1136  	-      	0
{893}₂,₃       	1165.861	                          	        	1137  	-      	0
{143/115}₂,₃   	1167.392	                          	        	1139  	-      	0
{253/65}₂,₃    	1167.392	                          	        	1139  	-      	0
{299/55}₂,₃    	1167.392	                          	        	1139  	-      	0
{289/77}₂,₃    	1167.596	                          	        	1141  	-      	0
{5425}₂,₃      	1167.882	                          	        	1142  	-      	0
{61/17}₂,₃     	1171.426	                          	        	1143  	604.5  	1
{539/325}₂,₃   	1171.438	                          	        	1144.5	-      	0
{637/275}₂,₃   	1171.438	                          	        	1144.5	-      	0
{605/343}₂,₃   	1174.210	                          	        	1146  	-      	0
{13013}₂,₃     	1174.785	                          	        	1147  	-      	0
{1147}₂,₃      	1178.861	                          	        	1148  	-      	0
{145/91}₂,₃    	1181.034	                          	        	1150  	-      	0
{203/65}₂,₃    	1181.034	                          	        	1150  	-      	0
{377/35}₂,₃    	1181.034	                          	        	1150  	-      	0
{989}₂,₃       	1181.306	                          	        	1152  	-      	0
{59/55}₂,₃     	1181.821	                          	        	1153  	604.5  	1
{113/5}₂,₃     	1182.315	                          	        	1154  	604.5  	1
{3703}₂,₃      	1182.903	                          	        	1155  	-      	0
{247/245}₂,₃   	1182.906	                          	        	1156  	-      	0
{3025/13}₂,₃   	1183.391	                          	        	1157  	-      	0
{133/31}₂,₃    	1183.454	                          	        	1159  	-      	0
{217/19}₂,₃    	1183.454	                          	        	1159  	-      	0
{589/7}₂,₃     	1183.454	                          	        	1159  	-      	0
{6655/7}₂,₃    	1186.192	                          	        	1161.5	-      	0
{9317/5}₂,₃    	1186.192	                          	        	1161.5	-      	0
{47/29}₂,₃     	1186.315	                          	        	1163  	604.5  	1
{4625}₂,₃      	1188.368	                          	        	1164  	-      	0
{319/125}₂,₃   	1189.686	                          	        	1165  	-      	0
{9025}₂,₃      	1190.799	                          	        	1166  	-      	0
{329/25}₂,₃    	1193.133	                          	        	1167  	-      	0
{7475}₂,₃      	1193.924	                          	        	1168  	-      	0
{10115}₂,₃     	1194.132	                          	        	1169  	-      	0
{715/19}₂,₃    	1194.977	                          	        	1171.5	-      	0
{1045/13}₂,₃   	1194.977	                          	        	1171.5	-      	0
