2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{121/7}₂,₃     	 86.269 	                          	        	82    	164    	6
{19/13}₂,₃     	 86.907 	  '//|                    	5       	83    	45     	44
{187}₂,₃       	 88.306 	                          	        	84    	217.5  	4
{31/5}₂,₃      	 88.981 	                          	        	85    	68     	25
{91/25}₂,₃     	 91.281 	 ,.//|                    	6       	86    	329    	2
{55/49}₂,₃     	 91.497 	   `)|                    	6       	87    	39     	51
{605}₂,₃       	 92.431 	                          	        	88    	94.5   	12
{343/25}₂,₃    	 92.631 	                          	        	89    	68     	25
{41}₂,₃        	 93.389 	                          	        	90    	72     	23
{35/17}₂,₃     	 93.657 	                          	        	92    	123.5  	9
{85/7}₂,₃      	 93.657 	                          	        	92    	-      	0
{119/5}₂,₃     	 93.657 	                          	        	92    	217.5  	4
{125/13}₂,₃    	 97.801 	  ,)/|                    	6       	94    	604.5  	1
{175/11}₂,₃    	 98.032 	                          	        	95.5  	102.5  	11
{275/7}₂,₃     	 98.032 	   ,/|\                   	6       	95.5  	147    	7
{425}₂,₃       	100.347 	                          	        	97    	329    	2
{169/5}₂,₃     	101.713 	                          	        	98    	329    	2
{121/25}₂,₃    	102.701 	                          	        	99    	217.5  	4
{43}₂,₃        	102.722 	                          	        	100   	58     	29
{161}₂,₃       	102.861 	                          	        	101   	604.5  	1
{221}₂,₃       	104.361 	                          	        	102   	252.5  	3
{1375}₂,₃      	105.035 	                          	        	103   	-      	0
{4375}₂,₃      	106.337 	  `'/|                    	6       	104   	147    	7
{23/11}₂,₃     	107.759 	  `.~|(    ,.(|(          	6, 6    	105   	63     	27
{29/7}₂,₃      	109.019 	                          	        	106   	83     	15
{209}₂,₃       	110.306 	                          	        	107   	604.5  	1
{19/17}₂,₃     	113.648 	                          	        	108   	72     	23
{637}₂,₃       	115.014 	                          	        	109   	604.5  	1
{2401}₂,₃      	116.715 	                          	        	110   	79.5   	19
{145}₂,₃       	116.806 	                          	        	111   	-      	0
{35/19}₂,₃     	116.991 	                          	        	113   	164    	6
{95/7}₂,₃      	116.991 	                          	        	113   	604.5  	1
{133/5}₂,₃     	116.991 	                          	        	113   	604.5  	1
{77/13}₂,₃     	120.491 	                          	        	116   	134.5  	8
{91/11}₂,₃     	120.491 	    `|\    `'/|\          	6, 6    	116   	217.5  	4
{143/7}₂,₃     	120.491 	   `~|(                   	6       	116   	123.5  	9
{25/23}₂,₃     	122.454 	                          	        	118   	164    	6
{47}₂,₃        	122.722 	                          	        	119   	51     	37
{31/7}₂,₃      	124.574 	                          	        	120   	113    	10
{475}₂,₃       	125.347 	                          	        	121   	94.5   	12
{37/5}₂,₃      	126.759 	                          	        	122   	70     	24
{23/13}₂,₃     	127.352 	                          	        	123   	63     	27
{65/49}₂,₃     	127.793 	                          	        	124   	329    	2
{715}₂,₃       	129.097 	                          	        	125   	186.5  	5
{847}₂,₃       	129.403 	                          	        	126   	113    	10
{29/25}₂,₃     	129.784 	                          	        	127   	113    	10
{247}₂,₃       	130.361 	                          	        	128   	604.5  	1
{49/17}₂,₃     	131.120 	 ,'//|                    	6       	129   	329    	2
{155}₂,₃       	133.472 	                          	        	130   	604.5  	1
{15625}₂,₃     	135.634 	                          	        	131   	63     	27
{289}₂,₃       	136.472 	                          	        	132   	252.5  	3
{175/13}₂,₃    	136.921 	                          	        	133.5 	604.5  	1
{325/7}₂,₃     	136.921 	                          	        	133.5 	-      	0
{245/11}₂,₃    	137.245 	                          	        	135.5 	113    	10
{539/5}₂,₃     	137.245 	                          	        	135.5 	604.5  	1
{595}₂,₃       	140.486 	  ,)/|\                   	6       	137   	-      	0
